"","cp","Accuracy","Kappa","AccuracySD","KappaSD"
"1",0.001,0.876782259126465,0.844041867692871,0.00641674106127342,0.00814703117885938
"2",0.011,0.654890266790252,0.563183134742736,0.0123808226660427,0.015630844318807
"3",0.021,0.558588094554549,0.444172814503247,0.0220698606847239,0.0288736401876177
"4",0.031,0.510355310337694,0.385354742182497,0.0182801013405474,0.02240663165784
"5",0.041,0.507893510677252,0.382684074852697,0.0148938615638765,0.0188042689049407
"6",0.051,0.284307043439498,0,0.000168555568597765,0
"7",0.061,0.284307043439498,0,0.000168555568597765,0
"8",0.071,0.284307043439498,0,0.000168555568597765,0
"9",0.081,0.284307043439498,0,0.000168555568597765,0
"10",0.091,0.284307043439498,0,0.000168555568597765,0
"11",0.101,0.284307043439498,0,0.000168555568597765,0
"12",0.111,0.284307043439498,0,0.000168555568597765,0
"13",0.121,0.284307043439498,0,0.000168555568597765,0
"14",0.131,0.284307043439498,0,0.000168555568597765,0
"15",0.141,0.284307043439498,0,0.000168555568597765,0
"16",0.151,0.284307043439498,0,0.000168555568597765,0
"17",0.161,0.284307043439498,0,0.000168555568597765,0
"18",0.171,0.284307043439498,0,0.000168555568597765,0
"19",0.181,0.284307043439498,0,0.000168555568597765,0
"20",0.191,0.284307043439498,0,0.000168555568597765,0
"21",0.201,0.284307043439498,0,0.000168555568597765,0
"22",0.211,0.284307043439498,0,0.000168555568597765,0
"23",0.221,0.284307043439498,0,0.000168555568597765,0
"24",0.231,0.284307043439498,0,0.000168555568597765,0
"25",0.241,0.284307043439498,0,0.000168555568597765,0
"26",0.251,0.284307043439498,0,0.000168555568597765,0
"27",0.261,0.284307043439498,0,0.000168555568597765,0
"28",0.271,0.284307043439498,0,0.000168555568597765,0
"29",0.281,0.284307043439498,0,0.000168555568597765,0
"30",0.291,0.284307043439498,0,0.000168555568597765,0
"31",0.301,0.284307043439498,0,0.000168555568597765,0
"32",0.311,0.284307043439498,0,0.000168555568597765,0
"33",0.321,0.284307043439498,0,0.000168555568597765,0
"34",0.331,0.284307043439498,0,0.000168555568597765,0
"35",0.341,0.284307043439498,0,0.000168555568597765,0
"36",0.351,0.284307043439498,0,0.000168555568597765,0
"37",0.361,0.284307043439498,0,0.000168555568597765,0
"38",0.371,0.284307043439498,0,0.000168555568597765,0
"39",0.381,0.284307043439498,0,0.000168555568597765,0
"40",0.391,0.284307043439498,0,0.000168555568597765,0
"41",0.401,0.284307043439498,0,0.000168555568597765,0
"42",0.411,0.284307043439498,0,0.000168555568597765,0
"43",0.421,0.284307043439498,0,0.000168555568597765,0
"44",0.431,0.284307043439498,0,0.000168555568597765,0
"45",0.441,0.284307043439498,0,0.000168555568597765,0
"46",0.451,0.284307043439498,0,0.000168555568597765,0
"47",0.461,0.284307043439498,0,0.000168555568597765,0
"48",0.471,0.284307043439498,0,0.000168555568597765,0
"49",0.481,0.284307043439498,0,0.000168555568597765,0
"50",0.491,0.284307043439498,0,0.000168555568597765,0
"51",0.501,0.284307043439498,0,0.000168555568597765,0
"52",0.511,0.284307043439498,0,0.000168555568597765,0
"53",0.521,0.284307043439498,0,0.000168555568597765,0
"54",0.531,0.284307043439498,0,0.000168555568597765,0
"55",0.541,0.284307043439498,0,0.000168555568597765,0
"56",0.551,0.284307043439498,0,0.000168555568597765,0
"57",0.561,0.284307043439498,0,0.000168555568597765,0
"58",0.571,0.284307043439498,0,0.000168555568597765,0
"59",0.581,0.284307043439498,0,0.000168555568597765,0
"60",0.591,0.284307043439498,0,0.000168555568597765,0
"61",0.601,0.284307043439498,0,0.000168555568597765,0
"62",0.611,0.284307043439498,0,0.000168555568597765,0
"63",0.621,0.284307043439498,0,0.000168555568597765,0
"64",0.631,0.284307043439498,0,0.000168555568597765,0
"65",0.641,0.284307043439498,0,0.000168555568597765,0
"66",0.651,0.284307043439498,0,0.000168555568597765,0
"67",0.661,0.284307043439498,0,0.000168555568597765,0
"68",0.671,0.284307043439498,0,0.000168555568597765,0
"69",0.681,0.284307043439498,0,0.000168555568597765,0
"70",0.691,0.284307043439498,0,0.000168555568597765,0
"71",0.701,0.284307043439498,0,0.000168555568597765,0
"72",0.711,0.284307043439498,0,0.000168555568597765,0
"73",0.721,0.284307043439498,0,0.000168555568597765,0
"74",0.731,0.284307043439498,0,0.000168555568597765,0
"75",0.741,0.284307043439498,0,0.000168555568597765,0
"76",0.751,0.284307043439498,0,0.000168555568597765,0
"77",0.761,0.284307043439498,0,0.000168555568597765,0
"78",0.771,0.284307043439498,0,0.000168555568597765,0
"79",0.781,0.284307043439498,0,0.000168555568597765,0
"80",0.791,0.284307043439498,0,0.000168555568597765,0
"81",0.801,0.284307043439498,0,0.000168555568597765,0
"82",0.811,0.284307043439498,0,0.000168555568597765,0
"83",0.821,0.284307043439498,0,0.000168555568597765,0
"84",0.831,0.284307043439498,0,0.000168555568597765,0
"85",0.841,0.284307043439498,0,0.000168555568597765,0
"86",0.851,0.284307043439498,0,0.000168555568597765,0
"87",0.861,0.284307043439498,0,0.000168555568597765,0
"88",0.871,0.284307043439498,0,0.000168555568597765,0
"89",0.881,0.284307043439498,0,0.000168555568597765,0
"90",0.891,0.284307043439498,0,0.000168555568597765,0
"91",0.901,0.284307043439498,0,0.000168555568597765,0
"92",0.911,0.284307043439498,0,0.000168555568597765,0
"93",0.921,0.284307043439498,0,0.000168555568597765,0
"94",0.931,0.284307043439498,0,0.000168555568597765,0
"95",0.941,0.284307043439498,0,0.000168555568597765,0
"96",0.951,0.284307043439498,0,0.000168555568597765,0
"97",0.961,0.284307043439498,0,0.000168555568597765,0
"98",0.971,0.284307043439498,0,0.000168555568597765,0
"99",0.981,0.284307043439498,0,0.000168555568597765,0
